t,BodyA_x,BodyA_y,BodyB_x,BodyB_y
2.2200000000,-0.3531016044,-0.3728498193,0.1347386264,0.8728682848
2.2400000000,-0.3344578843,-0.3984761326,0.1129804294,0.8669899399
2.2600000000,-0.3148639956,-0.4229704064,0.0911546161,0.8605927205
2.2800000000,-0.2944110650,-0.4463106921,0.0692725456,0.8536643762
2.3000000000,-0.2731876591,-0.4684829805,0.0473463705,0.8461925187
2.3200000000,-0.2512791417,-0.4894803875,0.0253890852,0.8381646477
2.3400000000,-0.2287671922,-0.5093023362,0.0034145764,0.8295681806
2.3600000000,-0.2057294679,-0.5279537570,-0.0185623248,0.8203904879
2.3800000000,-0.1822393903,-0.5454443253,-0.0405257892,0.8106189334
2.4000000000,-0.1583660381,-0.5617877486,-0.0624589345,0.8002409214
2.4200000000,-0.1341741253,-0.5770011101,-0.0843437700,0.7892439502
2.4400000000,-0.1097240504,-0.5911042738,-0.1061611399,0.7776156731
2.4600000000,-0.0850719990,-0.6041193514,-0.1278906682,0.7653439678
2.4800000000,-0.0602700873,-0.6160702305,-0.1495107031,0.7524170144
2.5000000000,-0.0353665352,-0.6269821601,-0.1709982644,0.7388233837
2.5200000000,-0.0104058593,-0.6368813912,-0.1923289932,0.7245521347
2.5400000000,0.0145709226,-0.6457948672,-0.2134771057,0.7095929240
2.5600000000,0.0395260808,-0.6537499600,-0.2344153529,0.6939361260
2.5800000000,0.0644249618,-0.6607742457,-0.2551149872,0.6775729658
2.6000000000,0.0892357803,-0.6668953180,-0.2755457379,0.6604956638
2.6200000000,0.1139294155,-0.6721406324,-0.2956757980,0.6426975929
2.6400000000,0.1384792164,-0.6765373783,-0.3154718246,0.6241734479
2.6600000000,0.1628608150,-0.6801123754,-0.3348989551,0.6049194274
2.6800000000,0.1870519502,-0.6828919910,-0.3539208418,0.5849334253
2.7000000000,0.2110323019,-0.6849020748,-0.3724997086,0.5642152338
2.7200000000,0.2347833350,-0.6861679089,-0.3905964318,0.5427667523
2.7400000000,0.2582881552,-0.6867141711,-0.4081706482,0.5205922036
2.7600000000,0.2815313733,-0.6865649086,-0.4251808937,0.4976983506
2.7800000000,0.3044989811,-0.6857435208,-0.4415847741,0.4740947129
2.8000000000,0.3271782354,-0.6842727498,-0.4573391712,0.4497937762
2.8200000000,0.3495575519,-0.6821746775,-0.4724004849,0.4248111909
2.8400000000,0.3716264064,-0.6794707271,-0.4867249125,0.3991659529
2.8600000000,0.3933752452,-0.6761816693,-0.5002687644,0.3728805603
2.8800000000,0.4147954016,-0.6723276320,-0.5129888157,0.3459811392
2.9000000000,0.4358790202,-0.6679281121,-0.5248426891,0.3184975315
2.9200000000,0.4566189867,-0.6630019899,-0.5357892665,0.2904633368
2.9400000000,0.4770088643,-0.6575675452,-0.5457891216,0.2619159028
2.9600000000,0.4970428343,-0.6516424740,-0.5548049671,0.2328962576
2.9800000000,0.5167156432,-0.6452439064,-0.5628021066,0.2034489795
3.0000000000,0.5360225530,-0.6383884258,-0.5697488800,0.1736220016
3.0200000000,0.5549592963,-0.6310920868,-0.5756170931,0.1434663493
3.0400000000,0.5735220350,-0.6233704349,-0.5803824163,0.1130358137
3.0600000000,0.5917073226,-0.6152385253,-0.5840247434,0.0823865622
3.0800000000,0.6095120696,-0.6067109416,-0.5865284967,0.0515766957
3.1000000000,0.6269335119,-0.5978018148,-0.5878828697,0.0206657579
3.1200000000,0.6439691817,-0.5885248411,-0.5880819982,-0.0102857901
3.1400000000,0.6606168810,-0.5788933003,-0.5871250545,-0.0412171179
3.1600000000,0.6768746575,-0.5689200734,-0.5850162602,-0.0720675840
3.1800000000,0.6927407821,-0.5586176590,-0.5817648181,-0.1027772884
3.2000000000,0.7082137285,-0.5479981904,-0.5773847652,-0.1332876072
3.2200000000,0.7232921544,-0.5370734518,-0.5718947528,-0.1635416950
3.2400000000,0.7379748849,-0.5258548934,-0.5653177596,-0.1934849447
3.2600000000,0.7522608959,-0.5143536468,-0.5576807496,-0.2230653944
3.2800000000,0.7661493005,-0.5025805392,-0.5490142849,-0.2522340749
3.3000000000,0.7796393352,-0.4905461079,-0.5393521047,-0.2809452931
3.3200000000,0.7927303479,-0.4782606136,-0.5287306841,-0.3091568487
3.3400000000,0.8054217872,-0.4657340533,-0.5171887827,-0.3368301852
3.3600000000,0.8177131913,-0.4529761733,-0.5047669956,-0.3639304774
3.3800000000,0.8296041794,-0.4399964809,-0.4915073150,-0.3904266593
3.4000000000,0.8410944428,-0.4268042564,-0.4774527113,-0.4162913975
3.4200000000,0.8521837366,-0.4134085643,-0.4626467405,-0.4415010181
3.4400000000,0.8628718732,-0.3998182641,-0.4471331824,-0.4660353924
3.4600000000,0.8731587148,-0.3860420208,-0.4309557132,-0.4898777892
3.4800000000,0.8830441679,-0.3720883151,-0.4141576144,-0.5130147015
3.5000000000,0.8925281773,-0.3579654531,-0.3967815190,-0.5354356525
3.5200000000,0.9016107212,-0.3436815757,-0.3788691940,-0.5571329902
3.5400000000,0.9102918059,-0.3292446676,-0.3604613584,-0.5781016717
3.5600000000,0.9185714622,-0.3146625663,-0.3415975344,-0.5983390471
3.5800000000,0.9264497408,-0.2999429705,-0.3223159302,-0.6178446425
3.6000000000,0.9339267089,-0.2850934484,-0.3026533500,-0.6366199484
3.6200000000,0.9410024470,-0.2701214454,-0.2826451307,-0.6546682154
3.6400000000,0.9476770452,-0.2550342924,-0.2623250998,-0.6719942581
3.6600000000,0.9539506012,-0.2398392129,-0.2417255536,-0.6886042708
3.6800000000,0.9598232172,-0.2245433303,-0.2208772522,-0.7045056540
3.7000000000,0.9652949978,-0.2091536753,-0.1998094285,-0.7197068529
3.7200000000,0.9703660477,-0.1936771926,-0.1785498088,-0.7342172094
3.7400000000,0.9750364698,-0.1781207480,-0.1571246439,-0.7480468250
3.7600000000,0.9793063639,-0.1624911344,-0.1355587471,-0.7612064371
3.7800000000,0.9831758244,-0.1467950789,-0.1138755386,-0.7737073061
3.8000000000,0.9866449396,-0.1310392491,-0.0920970946,-0.7855611136
3.8200000000,0.9897137900,-0.1152302589,-0.0702441991,-0.7967798723
3.8400000000,0.9923824474,-0.0993746752,-0.0483363986,-0.8073758437
3.8600000000,0.9946509739,-0.0834790233,-0.0263920574,-0.8173614667
3.8800000000,0.9965194213,-0.0675497936,-0.0044284139,-0.8267492940
3.9000000000,0.9979878299,-0.0515934470,0.0175383642,-0.8355519357
3.9200000000,0.9990562287,-0.0356164208,0.0394931240,-0.8437820107
3.9400000000,0.9997246341,-0.0196251349,0.0614216739,-0.8514521038
3.9600000000,0.9999930504,-0.0036259970,0.0833107309,-0.8585747294
3.9800000000,0.9998614690,0.0123745913,0.1051478694,-0.8651622996
4.0000000000,0.9993298687,0.0283702288,0.1269214725,-0.8712270971
4.0200000000,0.9983982154,0.0443545092,0.1486206846,-0.8767812529
4.0400000000,0.9970664628,0.0603210149,0.1702353667,-0.8818367267
4.0600000000,0.9953345518,0.0762633116,0.1917560526,-0.8864052914
4.0800000000,0.9932024118,0.0921749424,0.2131739092,-0.8904985203
4.1000000000,0.9906699607,0.1080494220,0.2344806967,-0.8941277765
4.1200000000,0.9877371056,0.1238802308,0.2556687324,-0.8973042051
4.1400000000,0.9844037435,0.1396608087,0.2767308556,-0.9000387270
4.1600000000,0.9806697626,0.1553845494,0.2976603953,-0.9023420346
4.1800000000,0.9765350427,0.1710447941,0.3184511390,-0.9042245892
4.2000000000,0.9719994570,0.1866348251,0.3390973034,-0.9056966188
4.2200000000,0.9670628730,0.2021478601,0.3595935074,-0.9067681186
4.2400000000,0.9617251542,0.2175770446,0.3799347463,-0.9074488509
4.2600000000,0.9559861617,0.2329154466,0.4001163674,-0.9077483467
4.2800000000,0.9498457562,0.2481560487,0.4201340476,-0.9076759080
4.3000000000,0.9433037999,0.2632917419,0.4399837719,-0.9072406103
4.3200000000,0.9363601587,0.2783153182,0.4596618139,-0.9064513057
4.3400000000,0.9290147049,0.2932194633,0.4791647164,-0.9053166268
4.3600000000,0.9212673200,0.3079967493,0.4984892746,-0.9038449906
4.3800000000,0.9131178973,0.3226396265,0.5176325194,-0.9020446025
4.4000000000,0.9045663455,0.3371404162,0.5365917018,-0.8999234611
4.4200000000,0.8956125921,0.3514913015,0.5553642793,-0.8974893625
4.4400000000,0.8862565877,0.3656843197,0.5739479016,-0.8947499053
4.4600000000,0.8764983095,0.3797113530,0.5923403984,-0.8917124951
4.4800000000,0.8663377669,0.3935641197,0.6105397678,-0.8883843497
4.5000000000,0.8557750056,0.4072341646,0.6285441648,-0.8847725041
4.5200000000,0.8448101139,0.4207128493,0.6463518917,-0.8808838149
4.5400000000,0.8334432284,0.4339913423,0.6639613876,-0.8767249657
4.5600000000,0.8216745405,0.4470606084,0.6813712201,-0.8723024717
4.5800000000,0.8095043034,0.4599113977,0.6985800762,-0.8676226846
4.6000000000,0.7969328404,0.4725342348,0.7155867551,-0.8626917973
4.6200000000,0.7839605529,0.4849194064,0.7323901602,-0.8575158487
4.6400000000,0.7705879296,0.4970569501,0.7489892924,-0.8521007281
