t,BodyA_x,BodyA_y,BodyB_x,BodyB_y
3.0400000000,-0.6874593987,0.6789897334,-1.0072511262,0.2411409875
3.0600000000,-0.7028385406,0.6730006598,-1.0133415003,0.2334258715
3.0800000000,-0.7180799284,0.6668796803,-1.0192332628,0.2256650047
3.1000000000,-0.7331805748,0.6606279945,-1.0249252588,0.2178599083
3.1200000000,-0.7481375202,0.6542468277,-1.0304163728,0.2100121121
3.1400000000,-0.7629478331,0.6477374306,-1.0357055284,0.2021231542
3.1600000000,-0.7776086106,0.6411010791,-1.0407916891,0.1941945807
3.1800000000,-0.7921169793,0.6343390738,-1.0456738579,0.1862279458
3.2000000000,-0.8064700956,0.6274527401,-1.0503510780,0.1782248108
3.2200000000,-0.8206651464,0.6204434276,-1.0548224327,0.1701867443
3.2400000000,-0.8346993494,0.6133125102,-1.0590870455,0.1621153217
3.2600000000,-0.8485699540,0.6060613856,-1.0631440807,0.1540121251
3.2800000000,-0.8622742416,0.5986914748,-1.0669927430,0.1458787425
3.3000000000,-0.8758095263,0.5912042224,-1.0706322782,0.1377167682
3.3200000000,-0.8891731550,0.5836010959,-1.0740619728,0.1295278019
3.3400000000,-0.9023625087,0.5758835855,-1.0772811548,0.1213134485
3.3600000000,-0.9153750022,0.5680532037,-1.0802891931,0.1130753181
3.3800000000,-0.9282080852,0.5601114853,-1.0830854982,0.1048150252
3.4000000000,-0.9408592423,0.5520599868,-1.0856695220,0.0965341890
3.4200000000,-0.9533259940,0.5439002864,-1.0880407580,0.0882344323
3.4400000000,-0.9656058969,0.5356339832,-1.0901987415,0.0799173820
3.4600000000,-0.9776965442,0.5272626975,-1.0921430496,0.0715846682
3.4800000000,-0.9895955660,0.5187880700,-1.0938733011,0.0632379240
3.5000000000,-1.0013006303,0.5102117617,-1.0953891570,0.0548787853
3.5200000000,-1.0128094428,0.5015354535,-1.0966903201,0.0465088906
3.5400000000,-1.0241197480,0.4927608460,-1.0977765354,0.0381298803
3.5600000000,-1.0352293289,0.4838896589,-1.0986475900,0.0297433967
3.5800000000,-1.0461360082,0.4749236310,-1.0993033132,0.0213510834
3.6000000000,-1.0568376482,0.4658645196,-1.0997435765,0.0129545854
3.6200000000,-1.0673321514,0.4567141003,-1.0999682935,0.0045555484
3.6400000000,-1.0776174610,0.4474741664,-1.0999774203,-0.0038443815
3.6600000000,-1.0876915609,0.4381465290,-1.0997709551,-0.0122435580
3.6800000000,-1.0975524768,0.4287330163,-1.0993489382,-0.0206403347
3.7000000000,-1.1071982759,0.4192354733,-1.0987114525,-0.0290330660
3.7200000000,-1.1166270677,0.4096557616,-1.0978586228,-0.0374201069
3.7400000000,-1.1258370042,0.3999957585,-1.0967906164,-0.0457998136
